step,group,strategy,timeframe,win_rate_pct,total_trades,profit_factor,max_drawdown_R,net_R,avg_R,wins,losses,open
4,Filtered Pairs,"fibonacci+pinbar | vwap",4h,100.0,3,∞,0.00,1.72,0.57,3,0,0
4,Filtered Pairs,"fibonacci+pinbar | vwap",1d,100.0,1,∞,0.00,1.03,1.03,1,0,0
4,Filtered Pairs,"fibonacci+pinbar | vpvr",1m,40.5,504,1.13,51.29,39.59,0.08,204,300,0
4,Filtered Pairs,"fibonacci+pinbar | vpvr",5m,37.2,121,0.89,18.61,-8.50,-0.07,45,76,0
4,Filtered Pairs,"fibonacci+pinbar | vpvr",15m,46.9,32,1.28,7.96,4.80,0.15,15,17,0
4,Filtered Pairs,"fibonacci+pinbar | vpvr",1h,12.5,8,0.03,6.79,-6.79,-0.85,1,7,0
4,Filtered Pairs,"fibonacci+pinbar | vpvr",4h,50.0,6,0.57,3.00,-1.28,-0.21,3,3,0
4,Filtered Pairs,"market_structure+pinbar | levels",1m,90.7,43,2.58,2.00,6.30,0.15,39,4,0
4,Filtered Pairs,"market_structure+pinbar | levels",5m,100.0,7,∞,0.00,1.71,0.24,7,0,0
4,Filtered Pairs,"market_structure+pinbar | levels",15m,100.0,1,∞,0.00,0.10,0.10,1,0,0
4,Filtered Pairs,"market_structure+pinbar | levels",4h,100.0,1,∞,0.00,0.02,0.02,1,0,0
4,Filtered Pairs,"market_structure+pinbar | vwap",1m,86.1,72,1.95,3.88,9.47,0.13,62,10,0
4,Filtered Pairs,"market_structure+pinbar | vwap",5m,100.0,12,∞,0.00,2.91,0.24,12,0,0
4,Filtered Pairs,"market_structure+pinbar | vwap",15m,100.0,1,∞,0.00,0.10,0.10,1,0,0
4,Filtered Pairs,"market_structure+pinbar | vwap",1h,0.0,1,0.00,1.00,-1.00,-1.00,0,1,0
4,Filtered Pairs,"market_structure+pinbar | vwap",4h,100.0,2,∞,0.00,0.04,0.02,2,0,0
