step,group,strategy,timeframe,win_rate_pct,total_trades,profit_factor,max_drawdown_R,net_R,avg_R,wins,losses,open
4,Filtered Pairs,"cvd_divergence+market_structure | levels",5m,72.7,11,0.67,2.55,-0.98,-0.09,8,3,0
4,Filtered Pairs,"cvd_divergence+market_structure | levels",15m,100.0,2,∞,0.00,0.11,0.06,2,0,0
4,Filtered Pairs,"cvd_divergence+market_structure | levels",1h,50.0,4,0.12,2.00,-1.76,-0.44,2,2,0
4,Filtered Pairs,"cvd_divergence+market_structure | vwap",1m,91.1,135,3.62,2.07,31.44,0.23,123,12,0
4,Filtered Pairs,"cvd_divergence+market_structure | vwap",5m,73.3,15,0.76,2.21,-0.97,-0.06,11,4,0
4,Filtered Pairs,"cvd_divergence+market_structure | vwap",15m,100.0,6,∞,0.00,0.57,0.10,6,0,0
4,Filtered Pairs,"cvd_divergence+market_structure | vwap",1h,66.7,3,0.24,1.00,-0.76,-0.25,2,1,0
4,Filtered Pairs,"cvd_divergence+market_structure | vwap",4h,100.0,1,∞,0.00,0.15,0.15,1,0,0
4,Filtered Pairs,"cvd_divergence+market_structure | vpvr",1m,80.0,5,0.44,1.00,-0.56,-0.11,4,1,0
4,Filtered Pairs,"cvd_divergence+market_structure | vpvr",1h,0.0,1,0.00,1.00,-1.00,-1.00,0,1,0
4,Filtered Pairs,"cvd_divergence+pinbar | levels",1m,49.9,753,13.02,18.75,4532.70,6.02,376,377,0
4,Filtered Pairs,"cvd_divergence+pinbar | levels",5m,51.0,149,2.54,7.08,112.14,0.75,76,73,0
4,Filtered Pairs,"cvd_divergence+pinbar | levels",15m,58.1,31,3.34,3.29,30.42,0.98,18,13,0
4,Filtered Pairs,"cvd_divergence+pinbar | levels",1h,57.1,7,4.35,2.00,10.06,1.44,4,3,0
4,Filtered Pairs,"cvd_divergence+pinbar | levels",4h,0.0,1,0.00,1.00,-1.00,-1.00,0,1,0
