time,open,high,low,close,MA Fast,MA Slow,Volume,Volume MA
1751402820,3339.51,3339.87,3338.74,3338.78,3338.595518954948,3339.626502212884,762,2204.55
1751407320,3337.84,3340.86,3337.02,3338.56,3338.5884151639584,3339.5295474662585,1799,2132.7
1751408220,3338.54,3343.4,3338.34,3342.6,3339.3907321311667,3339.8086795147806,1492,2054.4
1751409120,3342.61,3343.79,3342.01,3342.36,3339.9845857049336,3340.0406177407094,1522,1971.2
1751410020,3342.35,3342.89,3338.7,3338.94,3339.775668563947,3339.940561582463,1520,1883
1751410920,3338.84,3340.1,3337.22,3339.37,3339.6945348511576,3339.8886923476934,1508,1811.35
1751411820,3339.36,3340.94,3338.44,3340.66,3339.887627880926,3339.958811225176,918,1691.6
1751412720,3340.7,3341.48,3337.34,3337.57,3339.424102304741,3339.741646568342,1316,1654.85
1751413620,3337.57,3339.23,3336.83,3337.22,3338.983281843793,3339.51240597122,1378,1584.65
1751414520,3337.18,3344.99,3334.74,3342.58,3339.7026254750344,3339.7912781556543,3528,1642.8
1751415420,3342.68,3342.68,3337.56,3339.17,3339.5961003800276,3339.734798323322,2454,1661.9
1751416320,3339.17,3339.69,3335.92,3338.13,3339.302880304022,3339.5889075666564,2171,1672.9
1751417220,3338.11,3342.02,3337.27,3341.14,3339.6703042432177,3339.7299159696877,2596,1704.85
1751418120,3341.13,3342.86,3335.18,3337.46,3339.2282433945743,3339.5235599724433,3681,1790.55
1751419020,3337.47,3337.58,3332.27,3335.29,3338.4405947156592,3339.1386908840395,3023,1841.4
1751419920,3335.29,3335.82,3331,3333.28,3337.4084757725273,3338.606082621854,3025,1895.25
1751420820,3333.18,3333.44,3331.01,3332.3,3336.386780618022,3338.0328023835036,2522,1923.25
1751421720,3332.22,3332.68,3328.62,3331.08,3335.3254244944173,3337.4007294395487,2824,2016.2
1751422620,3330.9,3331.71,3329.68,3330.74,3334.408339595534,3336.795208581408,1786,2046.85
1751423520,3330.79,3334.56,3330.22,3334.34,3334.394671676427,3336.57200780128,2236,2103.05
1751424420,3334.18,3338.22,3334.04,3335.69,3334.6537373411416,3336.4918252738908,2525,2191.2
1751425320,3335.68,3338.78,3334.94,3337.52,3335.2269898729132,3336.585295703537,2017,2202.1
1751426220,3337.6,3340.46,3336.58,3339.48,3336.0775918983304,3336.8484506395794,1936,2224.3
1751427120,3339.59,3340.15,3338.45,3339.08,3336.6780735186644,3337.051318763254,1426,2219.5
1751428020,3339.15,3342.1,3338,3339.92,3337.3264588149314,3337.312107966595,1871,2237.05
1751428920,3339.9,3341.98,3339.58,3339.9,3337.841167051945,3337.5473708787226,1708,2247.05
1751429820,3339.92,3341.35,3339.75,3339.91,3338.254933641556,3337.762155344293,1302,2266.25
1751430720,3339.89,3340.68,3339.69,3339.98,3338.599946913245,3337.963777585721,1187,2259.8
1751431620,3339.99,3341.36,3339.54,3340.02,3338.883957530596,3338.15070689611,1436,2262.7
1751432520,3340.05,3340.81,3338.26,3340.34,3339.1751660244768,3338.3497335419183,1563,2164.45
1751433420,3340.38,3343.76,3340.38,3341.64,3339.6681328195814,3338.648848674471,2471,2165.3
1751434320,3341.44,3341.8,3336.58,3337.26,3339.1865062556653,3338.5225897040646,2662,2189.85
1751435220,3337.29,3339.37,3337.02,3338.91,3339.131205004532,3338.5578088218767,2104,2165.25
1751436120,3338.83,3338.84,3334.86,3335.24,3338.352964003626,3338.2561898380695,2180,2090.2
1751437020,3335.29,3336.48,3333.2,3335.1,3337.702371202901,3337.969263489154,2852,2081.65
1751437920,3335.13,3335.67,3331.87,3332.18,3336.5978969623206,3337.4429668083217,2828,2071.8
1751438820,3331.99,3333.84,3329.94,3331.84,3335.6463175698564,3336.933606189383,2987,2095.05
1751439720,3331.86,3332.56,3328.06,3331.34,3334.785054055885,3336.425096535803,2935,2100.6
1751440620,3331.3,3331.58,3327.63,3331.09,3334.046043244708,3335.940087759821,3249,2173.75
1751441520,3331.12,3333.64,3327.97,3333.58,3333.9528345957665,3335.72553432711,2627,2193.3
1751442420,3333.6,3336.86,3333.06,3334.24,3334.0102676766132,3335.590485751918,3217,2227.9
1751443320,3334.23,3336.77,3333.12,3336.08,3334.4242141412906,3335.634987047198,2285,2241.3
1751444220,3336.07,3337.8,3335.65,3336.7,3334.8793713130326,3335.731806406544,2234,2256.2
1751445120,3336.68,3337.95,3335.06,3335.51,3335.005497050426,3335.711642187767,2133,2291.55
1751446020,3335.41,3336.77,3332.97,3333.3,3334.664397640341,3335.4924019888795,2964,2346.2
1751446920,3333.39,3338.74,3333.39,3338.35,3335.4015181122727,3335.752183626254,2532,2387.4
1751447820,3338.46,3339.46,3336.57,3338.73,3336.067214489818,3336.0228942056856,2849,2464.75
1751448720,3338.74,3341.77,3338.61,3339.89,3336.8317715918542,3336.374449277896,2919,2551.35
1751449620,3339.88,3342.94,3339.71,3342.54,3337.9734172734834,3336.9349538889965,1990,2579.05
1751450520,3342.53,3344.59,3340.75,3340.83,3338.544733818787,3337.289048989997,2110,2606.4
1751451420,3340.94,3344.2,3340.64,3343.89,3339.6137870550297,3337.8891354454518,1888,2577.25
1751452320,3343.87,3345.22,3342.76,3344.27,3340.5450296440235,3338.46921404132,1953,2541.8
1751453220,3344.29,3346.58,3343.32,3346.26,3341.688023715219,3339.177467310291,1979,2535.55
1751454120,3346.62,3347.78,3342.78,3342.78,3341.9064189721753,3339.5049702820825,2868,2569.95
1751455020,3342.8,3344.99,3341.57,3344.73,3342.47113517774,3339.9799729837114,2488,2551.75
1751455920,3344.73,3344.96,3340.74,3341.56,3342.288908142192,3340.123611803374,1985,2509.6
1751456820,3341.5,3342.97,3339.84,3342.06,3342.243126513754,3340.299647093976,2855,2503
1751457720,3342.06,3345.67,3337.85,3345.01,3342.796501211003,3340.727860994524,3183,2515.4
1751458620,3344.97,3350.51,3343.66,3345.82,3343.4012009688026,3341.1907827222944,5464,2626.15
